Country,Code,Cluster,WB_Human_Pop2015,UrbanPC,HDI,UrbanDogs,RuralDogs,TotalDogs,VaxEndemic,CurrantUnvax,Vax_to_reach_goal
Afghanistan ,AFG,Eurasia ,32526562,27,0.4,1158076,1667202,2825278,28253,2797025,1949442
Albania ,ALB,EasternEurope ,2889167,57,0.74,255167,189320,444487,207576,236912,103566
Algeria ,DZA,North Africa ,39666519,71,0.7,1323346,1569132,2892479,685517,2206961,1339218
Andorra ,AND,EU ,70473,85,0.84,9228,1614,10842,0,3253,0
Angola ,AGO,Congo Basin ,25021974,44,0.49,519914,1891864,2411778,12059,2399719,1676186
Antigua and Barbuda ,ATG,Caribbean ,91818,24,0.76,2910,9332,12242,0,5497,1824
Argentina ,ARG,Southern Cone ,43416755,92,0.8,5311374,477526,5788901,1195982,4592918,2856248
Armenia ,ARM,EasternEurope ,3017712,63,0.72,290968,173296,464263,216811,247452,108173
Australia ,AUS,Oceania ,23781169,89,0.93,2835445,175897,3011342,0,903403,0
Austria ,AUT,EU ,8611088,66,0.89,873933,450850,1324783,0,397435,0
Azerbaijan ,AZE,Eurasia ,9651349,55,0.73,811010,673813,1484823,313298,1171525,726078
Bahamas ,BHS,Caribbean ,388019,83,0.77,42876,8860,51736,0,23229,7709
Bahrain ,BHR,Middle East ,1377237,89,0.81,163019,10811,173830,32159,141671,89522
Bangladesh ,BGD,Asia 3 ,160995642,34,0.5,7357930,7399382,14757312,750409,14006903,9579709
Barbados ,BRB,Caribbean ,284215,31,0.79,11928,25968,37895,0,17015,5646
Belarus ,BLR,EasternEurope ,9513000,77,0.76,1122051,341487,1463538,683472,780066,341004
Belgium ,BEL,EU ,11285721,98,0.89,1699074,37191,1736265,0,520879,0
Belize ,BLZ,CA & Mex* ,359287,44,0.7,21065,26840,47905,0,15330,958
Benin ,BEN,West Africa ,10879829,44,0.43,225551,824074,1049625,8397,1041228,726340
Bhutan ,BTN,Asia 3 ,774830,39,0.52,39923,33245,73168,7317,65852,43901
Bolivia ,BOL,Andean ,10724705,69,0.66,979695,450266,1429961,1110567,319393,0
Bosnia Herzegovina ,BIH,EasternEurope ,3810416,40,0.73,233121,353097,586218,273764,312454,136589
Botswana ,BWA,SADC ,2262485,57,0.63,61305,130111,191416,957,190459,133034
Brazil ,BRA,Brazil ,207847528,86,0.72,23746442,3966562,27713004,19080403,8632601,318700
Brunei Darussalam ,BRN,Asia 1 ,423188,77,0.84,43561,6747,50308,0,15092,0
Bulgaria ,BGR,EasternEurope ,7177991,74,0.77,816612,287694,1104306,515711,588595,257303
Burkina Faso ,BFA,West Africa ,18105570,30,0.33,255007,1716139,1971146,15769,1955376,1364033
Burundi ,BDI,Congo Basin ,11178921,12,0.32,63577,1328524,1392102,6961,1385141,967511
C_te d'Ivoire ,CIV,West Africa ,22701556,54,0.4,580175,1405656,1985830,15887,1969944,1374195
Cambodia ,CMR,Asia 2 ,15577899,21,0.52,430428,863615,1294042,7764,1286278,898065
Cameroon ,CAN,West Africa ,23344179,54,0.48,598811,1439106,2037917,16303,2021613,1410238
Canada ,CSS,NorthAmerica ,35851774,82,0.91,3911572,868665,4780237,0,1434071,0
Cape Verde ,CPV,West Africa ,520502,66,0.57,16088,24248,40336,0,40014,27913
Central African Rep. ,CAF,Congo Basin ,4900274,40,0.34,92544,397074,489618,2448,487170,340285
Chad ,TCD,West Africa ,14037472,22,0.33,148791,1470691,1619481,12956,1606525,1120681
Chile ,CHL,Southern Cone ,17948141,90,0.81,2142529,250556,2393085,0,842366,124440
China ,CHN,China ,1371220000,56,0.69,15788619,12601029,28389648,4031330,24358318,15841424
Colombia ,COL,Andean ,48228704,76,0.71,4915212,1515282,6430494,4707879,1722614,0
Comoros ,COM,SADC ,788474,28,0.43,10524,76401,86925,0,86490,60413
Congo ,COG,Congo Basin ,4620330,65,0.53,142489,216157,358646,277,358369,250775
Cook Islands ,COK,Oceania ,18027,100,0.91,2404,0,2404,0,721,0
Costa Rica ,CRI,CA & Mex* ,4807850,77,0.74,492458,148588,641047,0,500016,307702
Croatia ,HRV,EasternEurope ,4224404,59,0.8,383212,266696,649908,303507,346401,151429
Cuba ,CUB,Caribbean ,11389562,77,0.78,1170452,348156,1518608,981703,536905,81323
Cyprus ,CYP,EasternEurope ,1165300,67,0.84,119974,59303,179277,0,95555,41772
Czech Republic ,CZE,EasternEurope ,10551219,73,0.87,1184853,438411,1623264,758065,865200,378221
North Koreaa ,PRK,Asia 2 ,25155317,61,0.77,2041773,688253,2730026,16380,2713646,1894638
DRCb ,COD,Congo Basin ,77266814,42,0.29,1548762,6004467,7553229,37766,7515463,5249494
Denmark ,DNK,EU ,5676002,88,0.9,765614,107617,873231,0,261969,0
Djibouti ,DJI,North Africa ,887861,77,0.43,32391,27184,59576,60,59516,41643
Dominica ,DMA,Caribbean ,72680,70,0.72,6739,2952,9691,0,4351,1444
Dominican Republic ,DOM,Caribbean ,10528391,79,0.69,1108710,295076,1403785,374758,1029027,607891
Ecuador ,ECU,Andean ,16144363,64,0.72,1372099,780483,2152582,1689296,463285,0
Egypt,EGY,North Africa ,91508084,43,0.64,1861887,7031902,8893789,2107828,6785961,4117824
El Salvador ,SLV,CA & Mex* ,6126583,67,0.67,545070,271808,816878,536689,280189,35126
Equatorial Guinea ,GNQ,Congo Basin ,845060,40,0.54,15914,68606,84520,423,84098,58742
Eritrea ,ERI,North Africa ,5222000,38,0.35,92863,439636,532499,532,531966,372217
Estonia ,EST,EasternEurope ,1311998,68,0.84,136323,65523,201846,94262,107584,47030
Ethiopia ,ETH,SADC ,99390750,19,0.36,912895,10815863,11728757,58644,11670113,8151486
Fiji ,FJI,Oceania ,892145,54,0.69,63911,28868,92779,0,27834,0
Finland ,FIN,EU ,5482013,84,0.88,710309,133078,843387,0,253016,0
