country,CODE,HDI,gavi,endemic,hdr_rel,ID,free,pop2024,pop2025,pop2026,pop2027,pop2028,pop2029,pop2030,pop2031,pop2032,pop2033,pop2034,pop2035,pop2036,pop2037,pop2038,pop2039,pop2040
Afghanistan,AFG,0.398,TRUE,1,24.89823403916574,FALSE,FALSE,41519986,42388400,43254446,44119315,44982317,45842659,46699545,47552324,48400329,49242776,50078786,50907550,51728328,52540360,53342664,54134238,54914122
Bangladesh,BGD,0.5,TRUE,1,22.826664559303225,TRUE,TRUE,176631129,178262909,179836355,181353356,182814797,184224428,185584811,186894662,188151243,189354346,190504057,191600525,192643385,193632754,194569933,195456694,196294312
Benin,BEN,0.427,TRUE,1,16.848,FALSE,FALSE,13461351,13809467,14162973,14521715,14885608,15254549,15628437,16007138,16390564,16778622,17171208,17568229,17969567,18375045,18784441,19197485,19613944
Burkina Faso,BFA,0.331,TRUE,1,18.677781840341254,FALSE,FALSE,23349262,23991225,24645549,25312044,25990540,26680772,27382488,28095447,28819358,29553841,30298440,31052714,31816280,32588733,33369534,34158075,34953797
Burundi,BDI,0.316,TRUE,1,9.303961904761906,FALSE,FALSE,13427343,13810006,14197139,14588733,14985535,15388616,15798849,16216487,16641716,17075250,17517888,17970195,18432401,18904397,19386058,19877068,20377076
Cambodia,KHM,0.523,TRUE,1,13.127342543393553,TRUE,TRUE,17599113,17808685,18013910,18214806,18411936,18606102,18797878,18987419,19174678,19359792,19542826,19723795,19902725,20079472,20253651,20424780,20592416
Cameroon,CMR,0.482,TRUE,1,17.724,FALSE,FALSE,28642234,29339083,30046222,30763659,31491572,32230190,32979644,33739916,34510776,35291925,36083001,36883632,37693541,38512499,39340228,40176449,41020839
Central African Republic,CAF,0.343,TRUE,1,14.013913043478261,FALSE,FALSE,5366949,5488896,5612532,5737657,5864322,5992915,6123615,6256230,6390254,6525376,6661223,6797519,6934059,7070780,7207592,7344487,7481447
Chad,TCD,0.328,TRUE,1,16.34640218878249,FALSE,FALSE,18261067,18775565,19297583,19827182,20364197,20908510,21459963,22018360,22583505,23155184,23733187,24317309,24907304,25502961,26103996,26710161,27321154
Comoros,COM,0.433,TRUE,0,22.077439999999996,FALSE,FALSE,945406,964591,983860,1003211,1022641,1042164,1061775,1081470,1101260,1121119,1141054,1161071,1181144,1201284,1221477,1241703,1261942
Congo,COG,0.533,TRUE,1,16.592116689280864,FALSE,FALSE,6294495,6455373,6620218,6788982,6961681,7138328,7318887,7503338,7691584,7883415,8078586,8276845,8478096,8682197,8888864,9097765,9308628
Dem. People's Republic of Korea,PRK,0.766,TRUE,1,10.15924625267666,FALSE,FALSE,26257063,26350877,26440287,26524975,26604290,26677453,26743895,26803384,26855925,26901502,26940153,26971999,26997036,27015392,27027443,27033684,27034528
Democratic Republic of the Congo,COD,0.286,TRUE,1,13.393502237309058,FALSE,FALSE,101159625,104220558,107343095,110526199,113770328,117075937,120442943,123870684,127357745,130902180,134501533,138153309,141855797,145606856,149402912,153239842,157114000
Djibouti,DJI,0.43,TRUE,1,35.15567955801104,FALSE,FALSE,1055552,1069009,1082248,1095262,1108021,1120511,1132710,1144609,1156203,1167462,1178401,1189001,1199256,1209170,1218739,1227967,1236850
Eritrea,ERI,0.349,TRUE,1,17.250542694497152,FALSE,FALSE,5929298,6056880,6186016,6316482,6448451,6582129,6717687,6855107,6994250,7135034,7277273,7420805,7565543,7711344,7857969,8005125,8152540
Ethiopia,ETH,0.363,TRUE,1,13.489200965018094,FALSE,FALSE,123427617,126120682,128817980,131517867,134218920,136920107,139620178,142317586,145010282,147695897,150371875,153036024,155686416,158322006,160942553,163548404,166139393
Gambia,GMB,0.42,TRUE,1,30.41650429799427,FALSE,FALSE,2565346,2635740,2707043,2779225,2852248,2926075,3000667,3075997,3151996,3228620,3305795,3383475,3461606,3540115,3618924,3697953,3777102
Ghana,GHA,0.541,TRUE,1,17.304565561497327,FALSE,FALSE,33315708,33969758,34627161,35287968,35952490,36621087,37294019,37971309,38652767,39338139,40027113,40719336,41414511,42112439,42813023,43516217,44221824
Guinea,GIN,0.344,TRUE,1,23.25274617737003,FALSE,FALSE,15225927,15611600,16003772,16401917,16805925,17215775,17631380,18052550,18479052,18910686,19347252,19788558,20234399,20684604,21139017,21597512,22059928
Guinea Bissau,GNB,0.353,TRUE,1,20.713129251700682,FALSE,FALSE,2192880,2241865,2291199,2340894,2390982,2441532,2492580,2544120,2596172,2648734,2701825,2755473,2809661,2864364,2919552,2975168,3031196
