2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,,,code,country
12720.685938252835,13460.80842389408,14236.172289260085,15049.06164142034,15901.293979474991,16794.76890039744,17731.51048112216,18713.73735516062,19743.820887790574,20824.25711082367,AFG,Afghanistan,AFG,Afghanistan
28845.438290663376,30849.55908386941,32990.053793436105,35277.03205528147,37721.200119018395,40334.13774347762,43128.44794531306,46117.91961822598,49317.6205925865,52743.924208673234,AGO,Angola,AGO,Angola
11412.015586146514,11400.87646162729,11386.182297367883,11368.049652048301,11346.793234104565,11322.774375444691,11296.334981530024,11267.646005091248,11236.85508712303,11204.362412426728,ARM,Armenia,ARM,Armenia
22098.649565199416,22223.489269801004,22339.43070298286,22446.788847804073,22546.778942958903,22640.901414505934,22730.288498846803,22815.48503154322,22896.61658016604,22973.70229909048,AZE,Azerbaijan,AZE,Azerbaijan
85089.44272437126,89056.3301420184,93188.98314897268,97498.10333215586,101994.85078001399,106693.09369524823,111607.4111354559,116751.4639546673,122139.25825887428,127787.80775936722,BGD,Bangladesh,BGD,Bangladesh
6761.425180740123,7188.475310139738,7640.591774091192,8119.275567445795,8626.178580711843,9163.069560130092,9731.857371649989,10334.582819995387,10973.483566622153,11650.982097556922,BEN,Benin,BEN,Benin
883.7691909224586,925.4122495862218,968.8777767334136,1014.2758608438859,1061.733790213842,1111.407208974217,1163.416003456137,1217.9551557573245,1275.1810140281377,1335.3423148199754,BTN,Bhutan,BTN,Bhutan
32375.609404115792,32806.1116506697,33234.74529881572,33661.18387468425,34085.177877919705,34506.50965927571,34924.93237265578,35340.16997511327,35751.93049814695,36159.656547345374,BOL,Bolivia,BOL,Bolivia
7468.273410090576,7964.07099466563,8488.489520514642,9043.1103621369,9629.620565148636,10249.778322438427,10905.458483809562,11598.662355228296,12331.50315808974,13106.196749562361,BFA,Burkina Faso,BFA,Burkina Faso
8149.235571337271,8703.177434108384,9287.309450053292,9903.234200722758,10553.189809599382,11239.841728021785,11965.946493594338,12734.012547994691,13546.681253599127,14407.235171548178,BDI,Burundi,BDI,Burundi
16033.467532729943,16833.891694339032,17672.311921105873,18551.220170350865,19473.920845108594,20444.33486882772,21466.561589270466,22544.655788702305,23682.854391744873,24886.0791557625,KHM,Cambodia,KHM,Cambodia
16651.27795939729,17682.944265143404,18777.235148160435,19938.4660267574,21171.44101330062,22481.432474839814,23874.12846449914,25355.63673084799,26932.47644668082,28611.73133158933,CMR,Cameroon,CMR,Cameroon
2392.144909675726,2538.2295119660203,2692.0501193909863,2853.9398206873875,3024.3754793142034,3204.048728454982,3393.5992912379097,3593.5063345353433,3804.088276568344,4025.785243025338,CAF,Central African Republic,CAF,Central African Republic
6599.461214912813,7042.910334097964,7511.168446472497,8005.635458201328,8527.710629155054,9078.901430707598,9660.795570128226,10275.067059620136,10923.500434732838,11607.991529001167,TCD,Chad,TCD,Chad
4707.4811955760115,5010.50783546847,5334.51873703583,5681.115587165576,6052.108871112897,6449.487184558409,6875.396379002184,7332.22021604678,7822.51857342238,8349.007934906178,COG,Congo,COG,Congo
52942.515118608746,52950.66489631669,52952.357400942274,52947.82719155043,52934.747074281055,52910.30693955197,52872.37275979181,52819.955707569876,52753.39612349022,52673.53566066829,CUB,Cuba,CUB,Cuba
84370.79329521935,84672.2421511785,84959.5398062333,85231.66444342466,85486.52422992136,85721.61603549983,85935.11151472083,86126.26519106078,86295.09313082401,86441.54392183658,PRK,Dem. People's Republic of Korea,PRK,Dem. People's Republic of Korea
37995.49306495274,40701.28143599768,43565.923459273225,46597.84076374302,49806.5831958589,53202.31045737903,56795.58819045594,60597.37363815734,64618.93008219024,68871.93047501477,COD,Democratic Republic of the Congo,COD,Democratic Republic of the Congo
256.82400450212367,269.55482416497125,282.81878329835837,296.64209104487315,311.04641544729583,326.0592380741994,341.70758285837474,358.02433807781375,375.04627540257195,392.8048075326615,DJI,Djibouti,DJI,Djibouti
2194.953016645267,2325.897050603367,2463.620054333239,2608.406373842069,2760.7222320178275,2921.0863630203585,3090.044670813636,3268.0976781227882,3455.7217427815835,3653.452605790483,ERI,Eritrea,ERI,Eritrea
61504.918678085596,65173.30316248143,69018.8275893288,73049.7854242948,77275.10709490877,81704.52915211798,86348.31087511874,91217.21833431485,96322.41752017688,101675.60742821301,ETH,Ethiopia,ETH,Ethiopia
696.1014499130284,741.2159310191164,788.9456731656062,839.4432911796719,892.870008293917,949.3991970211911,1009.216597619581,1072.5263886627195,1139.5338983727434,1210.4696219273828,GMB,Gambia,GMB,Gambia
14668.57831510454,14608.92890277157,14549.973842408192,14489.366834776498,14427.359677843477,14364.272841748945,14300.407721029154,14235.84824833977,14170.766104112834,14105.321523418252,GEO,Georgia,GEO,Georgia
24610.13763228061,26049.113972701707,27573.60791552361,29190.01490417424,30905.58790004588,32728.37278396854,34667.175243462174,36731.52222892908,38931.768066480814,41279.35139849946,GHA,Ghana,GHA,Ghana
4105.185541290204,4366.876351870084,4643.167470450321,4934.737599883026,5242.42809671477,5567.16391632936,5909.911680455946,6271.668404061397,6653.482514185183,7056.485495701813,GIN,Guinea,GIN,Guinea
686.0795223365127,727.524245035511,771.0574594954272,816.7955279054875,864.8703412039802,915.4377260882311,968.6536458891495,1024.6693856824957,1083.6579641591538,1145.7963461332304,GNB,Guinea Bissau,GNB,Guinea Bissau
1848.2718213942098,1911.4011830796032,1919.3250572946224,1926.6994485655648,1933.5219985965325,1939.8257235300882,1945.5516659687985,1950.775291381378,1955.4187760032155,1959.4821198343102,GUY,Guyana,GUY,Guyana
14737.83382228099,15427.780211866064,16146.548404439965,16895.734179186114,17676.94509585432,18491.998728846243,19342.811188013035,20231.462673553837,21160.19587891489,22131.403717686055,HTI,Haiti,HTI,Haiti
24319.425622668663,25697.61280311954,26596.981003305857,26950.13167848932,27298.177504205993,27640.664214107044,27977.16263943199,28307.43184333284,28631.248457273457,28948.366524888155,HND,Honduras,HND,Honduras
1363573.5175148482,1428767.5111349085,1497165.6379690787,1568976.134230766,1644420.6511391476,1723739.9422844718,1807202.2194077997,1895116.088549931,1987823.9961150817,2085694.8175739327,IND,India,IND,India
243312.908171041,255559.952814937,268505.1363071142,274009.04776993685,276062.04110376455,278051.8902715569,279979.51781880547,281845.06582130434,283647.4990200989,285385.2451097317,IDN,Indonesia,IDN,Indonesia
